"Station Name","VICTORIA FRANCIS PARK"
"Province","BRITISH COLUMBIA"
"Latitude","48.48"
"Longitude","-123.44"
"Elevation","55.00"
"Climate Identifier","1018605"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-04-16","2014","04","16","†","","","","","","","","","","","10.8","","0.0","","10.8","","0","","","","",""
"2014-04-17","2014","04","17","†","","","","","","","","","","","7.8","","0.0","","7.8","","0","","","","",""
"2014-04-18","2014","04","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-04-19","2014","04","19","†","","","","","","","","","","","4.4","","0.0","","4.4","","0","","","","",""
"2014-04-20","2014","04","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-04-21","2014","04","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-04-22","2014","04","22","†","","","","","","","","","","","4.6","","0.0","","4.6","","0","","","","",""
"2014-04-23","2014","04","23","†","","","","","","","","","","","16.0","","0.0","","16.0","","0","","","","",""
"2014-04-24","2014","04","24","†","","","","","","","","","","","1.4","","0.0","","1.4","","0","","","","",""
"2014-04-25","2014","04","25","†","","","","","","","","","","","0.8","","0.0","","0.8","","0","","","","",""
"2014-04-26","2014","04","26","†","","","","","","","","","","","2.4","","0.0","","2.4","","0","","","","",""
"2014-04-27","2014","04","27","†","","","","","","","","","","","1.2","","0.0","","1.2","","0","","","","",""
"2014-04-28","2014","04","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-04-29","2014","04","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-04-30","2014","04","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-01","2014","05","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-02","2014","05","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-03","2014","05","03","†","","","","","","","","","","","3.2","","0.0","","3.2","","0","","","","",""
"2014-05-04","2014","05","04","†","","","","","","","","","","","11.0","","0.0","","11.0","","0","","","","",""
"2014-05-05","2014","05","05","†","","","","","","","","","","","4.6","","0.0","","4.6","","0","","","","",""
"2014-05-06","2014","05","06","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-07","2014","05","07","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-08","2014","05","08","†","","","","","","","","","","","9.6","","0.0","","9.6","","0","","","","",""
"2014-05-09","2014","05","09","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-10","2014","05","10","†","","","","","","","","","","","1.0","","0.0","","1.0","","0","","","","",""
"2014-05-11","2014","05","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-12","2014","05","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-13","2014","05","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-14","2014","05","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-15","2014","05","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-16","2014","05","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-17","2014","05","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-18","2014","05","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-19","2014","05","19","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-20","2014","05","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-21","2014","05","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-22","2014","05","22","†","","","","","","","","","","","3.6","","0.0","","3.6","","0","","","","",""
"2014-05-23","2014","05","23","†","","","","","","","","","","","1.6","","0.0","","1.6","","0","","","","",""
"2014-05-24","2014","05","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-25","2014","05","25","†","","","","","","","","","","","2.6","","0.0","","2.6","","0","","","","",""
"2014-05-26","2014","05","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-27","2014","05","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-28","2014","05","28","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-29","2014","05","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-30","2014","05","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"2014-05-31","2014","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-01","2014","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-02","2014","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-03","2014","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-04","2014","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-05","2014","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-06","2014","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-07","2014","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-08","2014","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-09","2014","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-10","2014","06","10","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-06-11","2014","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-12","2014","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-13","2014","06","13","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-06-14","2014","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-15","2014","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-16","2014","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-17","2014","06","17","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-06-18","2014","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-19","2014","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-20","2014","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-21","2014","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-22","2014","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-23","2014","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-24","2014","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-25","2014","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-26","2014","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-27","2014","06","27","†","","","","","","","","","","","1.6","","0.0","","1.6","","0","","","","",""
"2014-06-28","2014","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-29","2014","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-06-30","2014","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-01","2014","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-02","2014","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-03","2014","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-04","2014","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-05","2014","07","05","†","","","","","","","","","","","2.4","","0.0","","2.4","","","","","","",""
"2014-07-06","2014","07","06","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-07-07","2014","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-08","2014","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-09","2014","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-10","2014","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-11","2014","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-12","2014","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-13","2014","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-14","2014","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-15","2014","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-16","2014","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-17","2014","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-18","2014","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-19","2014","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-20","2014","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-21","2014","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-22","2014","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-23","2014","07","23","†","","","","","","","","","","","5.0","","0.0","","5.0","","0","","","","",""
"2014-07-24","2014","07","24","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-07-25","2014","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-26","2014","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-27","2014","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-28","2014","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-29","2014","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-30","2014","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-07-31","2014","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-01","2014","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-02","2014","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-03","2014","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-04","2014","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-05","2014","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-06","2014","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-07","2014","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-08","2014","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-09","2014","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-10","2014","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-11","2014","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-12","2014","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-13","2014","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-14","2014","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-15","2014","08","15","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-08-16","2014","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-17","2014","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-18","2014","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-19","2014","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-20","2014","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-21","2014","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-22","2014","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-23","2014","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-24","2014","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-25","2014","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-26","2014","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-27","2014","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-28","2014","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-29","2014","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-30","2014","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-08-31","2014","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-01","2014","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-02","2014","09","02","†","","","","","","","","","","","16.2","","0.0","","16.2","","","","","","",""
"2014-09-03","2014","09","03","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-09-04","2014","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-05","2014","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-06","2014","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-07","2014","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-08","2014","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-09","2014","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-10","2014","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-11","2014","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-12","2014","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-13","2014","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-14","2014","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-15","2014","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-16","2014","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-17","2014","09","17","†","","","","","","","","","","","2.0","","0.0","","2.0","","","","","","",""
"2014-09-18","2014","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-19","2014","09","19","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-09-20","2014","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-21","2014","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-22","2014","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-23","2014","09","23","†","","","","","","","","","","","16.8","","0.0","","16.8","","0","","","","",""
"2014-09-24","2014","09","24","†","","","","","","","","","","","","","","","","","0","","","","",""
"2014-09-25","2014","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-26","2014","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-27","2014","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-28","2014","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-29","2014","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"2014-09-30","2014","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-01","2014","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-02","2014","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-03","2014","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-04","2014","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-05","2014","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-06","2014","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-07","2014","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-08","2014","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-09","2014","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-10","2014","10","10","†","","","","","","","","","","","1.8","","0.0","","1.8","","","","","","",""
"2014-10-11","2014","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"2014-10-12","2014","10","12","†","","","","","","","","","","","1.4","","0.0","","1.4","","","","","","",""
