"Station Name","CAMPBELL RIVER A"
"Province","BRITISH COLUMBIA"
"Current Station Operator","NAV Canada"
"Latitude","49.95"
"Longitude","-125.27"
"Elevation","108.80"
"Climate Identifier","1021270"
"WMO Identifier",""
"TC Identifier","YBL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-02-14","2018","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-15","2018","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-16","2018","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-17","2018","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-18","2018","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-19","2018","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-20","2018","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-21","2018","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-22","2018","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-23","2018","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-24","2018","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-25","2018","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-26","2018","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-27","2018","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-02-28","2018","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-01","2018","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-02","2018","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-03","2018","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-04","2018","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-05","2018","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-06","2018","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-07","2018","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-08","2018","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-09","2018","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-10","2018","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-11","2018","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-12","2018","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-13","2018","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-14","2018","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-15","2018","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-16","2018","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-17","2018","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-18","2018","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-19","2018","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-20","2018","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-21","2018","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-22","2018","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-23","2018","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-24","2018","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-25","2018","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-26","2018","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-27","2018","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-28","2018","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-29","2018","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-30","2018","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-03-31","2018","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-01","2018","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-02","2018","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-03","2018","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-04","2018","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-05","2018","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-06","2018","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-07","2018","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-08","2018","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-09","2018","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-10","2018","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-11","2018","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-12","2018","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-13","2018","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-14","2018","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-15","2018","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-16","2018","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-17","2018","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-18","2018","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-19","2018","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-20","2018","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-21","2018","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-22","2018","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-23","2018","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-24","2018","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-25","2018","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-26","2018","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-27","2018","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-28","2018","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-29","2018","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-04-30","2018","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-01","2018","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-02","2018","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-03","2018","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-04","2018","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-05","2018","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-06","2018","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-07","2018","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-08","2018","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-09","2018","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-10","2018","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-11","2018","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-12","2018","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-13","2018","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-14","2018","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-15","2018","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-16","2018","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-17","2018","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-18","2018","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-19","2018","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-20","2018","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-21","2018","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-22","2018","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-23","2018","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-24","2018","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-25","2018","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-26","2018","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-27","2018","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-28","2018","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-29","2018","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-30","2018","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-05-31","2018","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-01","2018","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-02","2018","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-03","2018","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-04","2018","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-05","2018","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-06","2018","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-07","2018","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-08","2018","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-09","2018","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-10","2018","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-11","2018","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-12","2018","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-13","2018","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-14","2018","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-15","2018","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-16","2018","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-17","2018","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-18","2018","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-19","2018","06","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-20","2018","06","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-21","2018","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-22","2018","06","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-23","2018","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-24","2018","06","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-25","2018","06","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-26","2018","06","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-27","2018","06","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-28","2018","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-29","2018","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-06-30","2018","06","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-01","2018","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-02","2018","07","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-03","2018","07","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-04","2018","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-05","2018","07","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-06","2018","07","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-07","2018","07","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-08","2018","07","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-09","2018","07","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-10","2018","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-11","2018","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-12","2018","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-13","2018","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-14","2018","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-15","2018","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-16","2018","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-17","2018","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-18","2018","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-19","2018","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-20","2018","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-21","2018","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-22","2018","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-23","2018","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-24","2018","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-25","2018","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-26","2018","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-27","2018","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-28","2018","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-29","2018","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-30","2018","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-07-31","2018","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-01","2018","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-02","2018","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-03","2018","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-04","2018","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-05","2018","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-06","2018","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-07","2018","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-08","2018","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-09","2018","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-10","2018","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-11","2018","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-12","2018","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-13","2018","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-14","2018","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-15","2018","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-16","2018","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-17","2018","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-18","2018","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-19","2018","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-20","2018","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-21","2018","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-22","2018","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-23","2018","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-24","2018","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-25","2018","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-26","2018","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-27","2018","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-28","2018","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-29","2018","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-30","2018","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-08-31","2018","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-01","2018","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-02","2018","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-03","2018","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-04","2018","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-05","2018","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-06","2018","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-07","2018","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-08","2018","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-09","2018","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-10","2018","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-11","2018","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-12","2018","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-13","2018","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-14","2018","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-15","2018","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-16","2018","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-17","2018","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-18","2018","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-19","2018","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-20","2018","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-21","2018","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-22","2018","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-23","2018","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-24","2018","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-25","2018","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-26","2018","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-27","2018","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-28","2018","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-29","2018","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"2018-09-30","2018","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-01","2018","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-02","2018","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-03","2018","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-04","2018","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-05","2018","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-06","2018","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-07","2018","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-08","2018","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-09","2018","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-10","2018","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-11","2018","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-12","2018","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-13","2018","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-14","2018","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-15","2018","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-16","2018","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-17","2018","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-18","2018","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-19","2018","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-20","2018","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-21","2018","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-22","2018","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-23","2018","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-24","2018","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-25","2018","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-26","2018","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-27","2018","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-28","2018","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"2018-10-29","2018","10","29","","11.4","","1.3","","6.4","","11.6","","0.0","","","","","","","M","","","","","",""
"2018-10-30","2018","10","30","","10.0","","5.7","","7.9","","10.1","","0.0","","","","","","","M","","","12","","53",""
"2018-10-31","2018","10","31","","9.3","","7.9","","8.6","","9.4","","0.0","","","","","","","M","","","14","","35",""
"2018-11-01","2018","11","01","","11.3","","8.9","","10.1","","7.9","","0.0","","","","","","","M","","","","","",""
"2018-11-02","2018","11","02","","14.3","","6.1","","10.2","","7.8","","0.0","","","","","","","M","","","","","",""
"2018-11-03","2018","11","03","","10.7","","6.4","","8.6","","9.4","","0.0","","","","","","","M","","","13","","39",""
"2018-11-04","2018","11","04","","13.4","","4.1","","8.8","","9.2","","0.0","","","","","","","M","","","","","",""
"2018-11-05","2018","11","05","","10.4","","4.2","","7.3","","10.7","","0.0","","","","","","","M","","","","","",""
"2018-11-06","2018","11","06","","11.2","","-0.6","","5.3","","12.7","","0.0","","","","","","","M","","","","","",""
"2018-11-07","2018","11","07","","9.7","","-2.2","","3.8","","14.2","","0.0","","","","","","","M","","","","","",""
"2018-11-08","2018","11","08","","5.8","","-3.6","","1.1","","16.9","","0.0","","","","","","","M","","","","","",""
"2018-11-09","2018","11","09","","9.4","","-1.1","","4.2","","13.8","","0.0","","","","","","","M","","","","","",""
"2018-11-10","2018","11","10","","8.3","","-0.9","","3.7","","14.3","","0.0","","","","","","","M","","","","","",""
"2018-11-11","2018","11","11","","7.1","","0.1","","3.6","","14.4","","0.0","","","","","","","M","","","","","",""
"2018-11-12","2018","11","12","","7.1","","-2.1","","2.5","","15.5","","0.0","","","","","","","M","","","","","",""
"2018-11-13","2018","11","13","","9.0","","-0.3","","4.4","","13.6","","0.0","","","","","","","M","","","","","",""
"2018-11-14","2018","11","14","","10.2","","4.9","","7.6","","10.4","","0.0","","","","","","","M","","","14","","31",""
"2018-11-15","2018","11","15","","9.3","","6.9","","8.1","","9.9","","0.0","","","","","","","M","","","","","",""
"2018-11-16","2018","11","16","","10.4","","-1.6","","4.4","","13.6","","0.0","","","","","","","M","","","","","",""
